year,year_delta,age,sex,thermal_sensation,thermal_comfort,clothing_insulation,metabolic_rate,air_temperature,relative_humidity,air_velocity,outdoor_air_temperature,thermal_preference,hashed_country_0,hashed_country_1,hashed_country_2,hashed_country_3,hashed_country_4,hashed_country_5,hashed_country_6,hashed_country_7,hashed_country_8,hashed_country_9,hashed_city_0,hashed_city_1,hashed_city_2,hashed_city_3,hashed_city_4,hashed_city_5,hashed_city_6,hashed_city_7,hashed_city_8,hashed_city_9,hashed_climate_0,hashed_climate_1,hashed_climate_2,hashed_climate_3,hashed_climate_4,hashed_climate_5,hashed_climate_6,hashed_climate_7,hashed_climate_8,hashed_climate_9,season_Spring,season_Summer,season_Winter,koppen_climate_Am,koppen_climate_As,koppen_climate_Aw,koppen_climate_BSh,koppen_climate_BWh,koppen_climate_Cfa,koppen_climate_Cfb,koppen_climate_Csa,koppen_climate_Csb,koppen_climate_Csc,koppen_climate_Cwa,koppen_climate_Cwb,koppen_climate_Dfb,koppen_climate_Dwa,building_type_Multifamily housing,building_type_Office,building_type_Others,building_type_Senior center,cooling_strategy_Mechanically Ventilated,cooling_strategy_Mixed Mode,cooling_strategy_Naturally Ventilated
1983.0,1.0,0.7093233027299782,1,0.29101255906319445,0.21024851966919536,-0.059775086704872096,-0.49745980314439886,-0.12097053603909816,0.35523315968148206,0.35221734852427483,-0.10210953971097184,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1993.0,11.0,1.4440315042335679,0,-0.11947259115535078,0.21024851966919536,-0.314460386613506,-1.813498663447394,1.2945304577206462,-1.3085171317265047,0.7074041417243321,-0.10210953971097184,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1995.0,13.0,-0.1303432132741243,1,-0.9404428915924413,0.21024851966919536,0.7770480415663529,-0.045071444915244875,-0.5456208341670215,-0.021973384119519063,-0.3226375585558341,-1.485795354004989,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
1996.0,14.0,-0.1303432132741243,1,-0.11947259115535078,0.21024851966919536,0.15852659893109944,-0.45633358875993024,-0.14928055591429343,-1.2142154957762545,-0.03848812399578818,-1.485795354004989,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1995.0,13.0,-0.1303432132741243,1,0.7014977092817397,0.21024851966919536,0.2676774417490854,0.7774528427741267,-0.17759057578948773,-1.3085171317265047,-0.2516001999158226,-0.10210953971097184,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1993.0,11.0,0.07957341572690135,0,-0.11947259115535078,0.21024851966919536,0.9953497272023244,-0.8264695182201479,0.7283300602167484,-1.4297620922339693,0.7429228210443378,-0.10210953971097184,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2015.0,33.0,3.01840622174126,1,-0.11947259115535078,-2.7289920613879066,0.2312938274764234,-0.8675957326046165,-0.17759057578948773,-0.05565253981603701,-0.18056284127581115,-0.10210953971097184,1,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
2012.0,30.0,-0.1303432132741243,0,-0.9404428915924413,0.21024851966919536,1.0317333414749863,-0.8675957326046165,0.7566400800919437,0.20704487461680288,0.600848103764315,2.4461785016138435,0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1992.0,10.0,-0.1303432132741243,0,-1.7614131920295317,0.21024851966919536,-0.5691456865221395,5.712598568910359,-0.34745069504065745,0.8200055082934297,-0.3226375585558341,-0.10210953971097184,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1984.0,2.0,-0.1303432132741243,1,-0.9404428915924413,0.21024851966919536,-1.187667129157393,-0.3329549456065253,0.3319897819640204,-0.10280335779116233,-0.21608152059581692,-0.10210953971097184,2,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
