Publication (Citation),Data contributor,Year,Season,Koppen climate classification,Climate,City,Country,Building type,Cooling startegy_building level,Cooling startegy_operation mode for MM buildings,Heating strategy_building level,Age,Sex,Thermal sensation,Thermal sensation acceptability,Thermal preference,Air movement acceptability,Air movement preference,Thermal comfort,PMV,PPD,SET,Clo,Met,activity_10,activity_20,activity_30,activity_60,Air temperature (C),Air temperature (F),Ta_h (C),Ta_h (F),Ta_m (C),Ta_m (F),Ta_l (C),Ta_l (F),Operative temperature (C),Operative temperature (F),Radiant temperature (C),Radiant temperature (F),Globe temperature (C),Globe temperature (F),Tg_h (C),Tg_h (F),Tg_m (C),Tg_m (F),Tg_l (C),Tg_l (F),Relative humidity (%),Humidity preference,Humidity sensation,Air velocity (m/s),Air velocity (fpm),Velocity_h (m/s),Velocity_h (fpm),Velocity_m (m/s),Velocity_m (fpm),Velocity_l (m/s),Velocity_l (fpm),Subject«s height (cm),Subject«s weight (kg),Blind (curtain),Fan,Window,Door,Heater,Outdoor monthly air temperature (C),Outdoor monthly air temperature (F),Database
22,40,0.9516491724801265,1,4,4,33,7,3,1,0,0,1.4644516436757642,1,-0.9741307824572347,0.43318409026302807,0,0.19324698792024947,2,0.2840583962199987,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,-0.4066755069418653,0.0890872100800014,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,1.890112381298577,1.8852250502349535,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-1.526690179052753,1,4.887975519563409,-0.40166308278902413,-0.4011178251200352,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,0.623612269601146,1.4216488857907987,0.1499829574503797,3.8242646351945884,-0.3258752679561411,4.661252270288825,-0.1697250257391052,1.9047239692128046,1.9003150996328184,1
46,46,-0.17429636997151418,3,15,8,28,3,1,2,0,0,1.909303297283226,0,0.6230667621521024,0.43318409026302807,1,0.19324698792024947,2,0.2840583962199987,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,1.8917640035773358,0.0890872100800014,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-0.9648004475967892,-0.9760284074680581,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-1.414849415627458,-1.427401880141967,-1.4322097537429845,-1.4458524898890728,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-0.3200026785137311,2,-0.05936812371939364,-0.25981286284658023,-0.26041671230959457,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-3.6673488032288097,-3.6562714556428615,1
53,36,-2.2009983463844676,2,8,10,44,0,2,0,0,0,0.5747483364608406,1,-0.5748313963049004,0.43318409026302807,0,0.19324698792024947,2,0.2840583962199987,0.26334312970086426,-0.5334317328466724,0.5147159320118202,-0.0730310618664974,1.3201918719895733,-0.5445420757507939,9.930455834806391,-1.8549031648079315,3.7121244682209067,-0.5645790229852892,-0.5609242788893831,-0.07616007050304328,-0.07726436765305743,-0.61392816199824,-0.6092868155267422,-0.045538294226676164,-0.046175112857416496,-0.14210814590860604,-0.13543692953870734,0.45701717462526836,0.4829274273894968,-0.19665328066055118,-0.18225512517719458,-0.1273798135781429,-0.12096924575350756,-0.03509408725595675,-0.009782072405514106,-0.053835602914858664,-0.05479475017162244,-0.20475724306899287,2,-0.05936812371939364,-0.14633268689262516,-0.14580873619863116,-0.15690211296429823,-0.16319316196538425,0.020920179138659088,0.021311036028666346,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,0
37,12,-0.9624582496876627,3,6,3,52,14,2,2,0,0,0.46353542305897516,1,-0.17553201015256614,0.43318409026302807,1,0.19324698792024947,2,0.2840583962199987,-3.9192118220959,4.170087358656771,-2.0933139836777754,1.8546923985689616,-2.317162810925071,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-1.7118804402049226,-1.717285779929978,-0.07616007050304328,-0.07726436765305743,-2.5177873114230462,-2.528377899805773,-0.045538294226676164,-0.046175112857416496,-2.8192535753172243,-2.816873619469995,-3.013888112376871,-3.0084083722413304,-3.5407299128476586,-3.532973119242408,-0.1273798135781429,-0.12096924575350756,-2.959601358585798,-2.939172739298145,-0.053835602914858664,-0.05479475017162244,0.34435336110887627,2,-0.05936812371939364,-0.06122255492715883,-0.04936504309393367,-0.15690211296429823,-0.16319316196538425,0.2315260093936176,0.2599153187836836,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,0
34,38,1.0642437267252907,2,4,4,0,7,2,1,0,0,0.24110959625524422,1,-0.17553201015256614,0.43318409026302807,1,0.19324698792024947,2,-2.1903178774733645,1.6838334906884445,1.5248410020568834,1.5053629542505036,0.03818375315862536,-0.4705058180607124,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,1.2497581019201764,1.2477437099177024,2.8043267110039447,2.800961248561766,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,1.9804626564040841,1.971049257395378,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,2.039139176472671,2,-0.05936812371939364,1.5274999084282124,1.5143490661835761,4.815951740548984,4.78656038371731,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,0.19174781696877374,-0.5107471321180661,0.1499829574503797,3.8242646351945884,3.0686587732536617,-0.21453462331873255,-0.1697250257391052,1.3520284917843857,1.3502817848248765,1
33,25,1.0642437267252907,3,7,7,61,3,0,2,0,0,-0.09252914395035214,0,-0.9741307824572347,0.43318409026302807,2,0.19324698792024947,0,0.2840583962199987,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,1.2986183234433486,0.0890872100800014,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-0.19103902668122294,-0.19029559265842308,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-0.07256394947061667,2,-0.05936812371939364,-0.20307277486960268,-0.20260816083727218,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,1
37,12,-0.9624582496876627,3,6,3,36,14,2,2,0,0,-0.7598066243615449,1,-0.17553201015256614,0.43318409026302807,2,0.19324698792024947,2,0.2840583962199987,-2.7617752316615753,3.014177057107278,-1.0824496752709551,0.3718281982339932,-2.317162810925071,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-0.3511275965258233,-0.35337221460004675,-0.07616007050304328,-0.07726436765305743,-0.259721808616882,-0.26483456963050794,-0.045538294226676164,-0.046175112857416496,-0.44932155584074374,-0.45233399289422593,-0.5095640445398855,-0.5180849347424205,-0.5202735999044656,-0.5113434995943162,-0.1273798135781429,-0.12096924575350756,-0.31811091996529695,-0.2974900843324711,-0.053835602914858664,-0.05479475017162244,-1.5741441818829394,2,-0.05936812371939364,-0.43003312677751293,-0.4325449179404,-0.15690211296429823,-0.16319316196538425,-0.6810992550445358,-0.688081966063605,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,0
44,42,-0.5120800327070064,0,9,5,2,6,0,0,0,0,-0.09252914395035214,1,-0.9741307824572347,0.43318409026302807,1,0.19324698792024947,0,0.2840583962199987,0.5000915231987942,-0.3303873018121203,0.6158023628525022,0.26061338320887045,0.0890872100800014,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,0.12913811300797684,0.1358576512248222,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,1.2917918639042631,1.288620304227379,1.0978279963151027,1.10418124754427,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-1.0182544344436146,2,-0.05936812371939364,0.08062766501528511,0.08124480137969255,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,0.3030350346243246,0.30021818382789794,1
19,26,0.9516491724801265,2,8,12,37,5,2,1,2,0,-0.09252914395035214,1,0.6230667621521024,0.43318409026302807,0,0.19324698792024947,2,-0.33453567220334207,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,-0.4066755069418653,0.0890872100800014,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,0.31590811116000994,0.3137594206156814,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-0.6115058387563036,2,-0.05936812371939364,-0.3449229948120466,-0.34446256145763443,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,3.0686587732536617,-0.21453462331873255,-0.1697250257391052,-0.035349951556340284,-0.031051880772339252,1
33,25,1.0642437267252907,3,7,7,61,3,0,2,0,0,-0.09252914395035214,1,-0.17553201015256614,0.43318409026302807,1,0.19324698792024947,2,0.2840583962199987,-0.026016017907716935,-0.3303873018121203,-0.04328116622874552,1.48397634848522,0.0890872100800014,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,-0.19103902668122294,-0.19029559265842308,-0.07616007050304328,-0.07726436765305743,-0.10475652901253667,-0.10491031260725395,-0.045538294226676164,-0.046175112857416496,-0.09822051591830178,-0.09887188376691915,-0.09217669990038649,-0.09082356066172495,-0.08877984091258036,-0.09250375033616297,-0.1273798135781429,-0.12096924575350756,-0.08226355937418067,-0.08824789384013738,-0.053835602914858664,-0.05479475017162244,-0.07256394947061667,2,-0.05936812371939364,-0.20307277486960268,-0.20260816083727218,-0.15690211296429823,-0.16319316196538425,-0.11948370769797984,-0.11885560541037973,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,1
37,12,-1.0750528039328267,2,6,3,56,14,2,2,0,0,-1.4270841047727376,0,-0.17553201015256614,0.43318409026302807,1,0.19324698792024947,2,0.2840583962199987,3.22269804842499,3.982503163487794,3.4219616829898336,1.48397634848522,-2.317162810925071,-0.09938765367533467,-0.10505864149487534,-0.07370541237490016,-0.09348647248728625,2.31701523421751,2.3151543262628658,-0.07616007050304328,-0.07726436765305743,4.167857608650109,4.163837163321102,-0.045538294226676164,-0.046175112857416496,3.983329073180083,3.9598481969018042,3.927922461627406,3.9498482913585695,4.927335107368082,4.933573240761655,-0.1273798135781429,-0.12096924575350756,4.446005763975252,4.462769749368054,-0.053835602914858664,-0.05479475017162244,0.005396198036117307,2,-0.05936812371939364,0.052257621026796305,0.04722281098700404,-0.15690211296429823,-0.16319316196538425,13.148683598364407,13.137056767019713,-0.060692550776773185,-0.06031219470254412,-0.004554206955032857,-0.06480958952371269,0.1499829574503797,-0.26148818018424536,-0.3258752679561411,-0.21453462331873255,-0.1697250257391052,-0.04662945109569554,-0.049803016504427984,0
